Категория,Наименование,Артикул (номер в каталоге),Модели машин,Цвет,Ед. измерения,Цена оптовая,Цена закупочная,Цена для сервисов,Цена для розницы,Профит с сервисов,Профит с розницы
Бампера передние,Бампер передний (с облицовками),,2113 2114,Ривьера,шт,2300,2484,2600,2800,116,316
Бампера передние,Бампер передний (с противотуманными фарами),,2113 2114,Снежная Королева,шт,2150,2322,2300,2500,-22,178
Бампера передние,Бампер передний (без противотуманных фар),,2113 2114,Снежная Королева,шт,,0,,,0,0
Бампера передние,Бампер передний (с заглушками),,2113 2114,Снежная Королева,шт,2300,2484,2600,2800,116,316
Бампера передние,Бампер передний (с облицовками),,2113 2114,Снежная Королева,шт,2400,2592,2600,2800,8,208
Бампера передние,Бампер передний (без противотуманных фар),,2113 2114,Талая вода,шт,,0,,,0,0
Бампера передние,Бампер передний (с противотуманными фарами)(Сызрань),,2113 2114,Талая вода,шт,,0,,,0,0
Бампера передние,Бампер передний (с противотуманными фарами),,2113 2114,Франкония,шт,2150,2322,2300,2500,-22,178
Бампера передние,Бампер передний (с заглушками),,2113 2114,Франкония,шт,2300,2484,2600,2800,116,316
Бампера передние,Бампер передний (с облицовками).,,2113 2114,Франкония,шт,2300,2484,2600,2800,116,316
Бампера передние,Бампер передний (мягкий),,2114 2115,,шт,1930,2084.4,2100,2300,15.5999999999999,215.6
Бампера задние,Бампер задний (жесткий)(Сызрань) ,2804015-32,2115,,шт,1200,1296,1300,1400,4,104
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,,шт,900,972,1000,1100,28,128
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Амулет,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Амулет,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Золото Инков,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий)(Тольятти),,2115,Золото Инков,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий)(Сызрань),,2115,Золотой Лист,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Золотой Лист,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Капри,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Капри,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий)(Сызрань),,2115,Кварц,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Кварц,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий)(Сызрань),,2115,Кристалл,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Кристалл,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Млечный Путь,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Млечный Путь,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Ниагара,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Ниагара,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий)(Сызрань),,2115,Нефертити,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Нефертити,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий )(Сызрань),,2115,Снежная Королева,шт,2400,2592,2600,2800,8,208
Бампера задние,Бампер задний (жесткий )(Тольятти),,2115,Снежная Королева,шт,1800,1944,2000,2200,56,256
Бампера задние,Бампер задний (жесткий не окрашеный)(Сызрань),,2115,Франкония,шт,2300,2484,2600,2800,116,316
Бампера задние,Бампер задний (мягкий),,2115,,шт,2050,2214,2250,2400,36,186
Бампера задние,Бампер задний (мягкий),,2115,Снежная Королева,шт,,0,,,0,0
Бампера задние,Бампер задний (Надежда) (ВАЗ)(из 3-х частей),,2120,,шт,4350,4698,4700,5000,2,302
Бампера передние,Бампер передний нового образца (Надежда),,2120,,шт.,4350,4698,4700,5000,2,302
Бампера передние,Бампер передний старого образца (Надежда) (Сызрань),,2120,,шт,2100,2268,2300,2500,32,232
Бампера задние,Бампер задний в сборе (ЭМ) без труб,,2121,,шт.,840,907.2,950,1000,42.8,92.8
Бампера передние,Бампер передний в сборе (ЭМ) без труб,,2121,,шт.,840,907.2,950,1000,42.8,92.8
Бампера задние,Бампер задний,2804015-31,2123,Черный,шт,2200,2376,2400,2600,24,224
Бампера задние,Бампер задний,,2123,Дельфин - Кварц,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний ,,2123,Золотой,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний ,,2123,Млечный Путь,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний ,,2123,Посейдон,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний,,2123,Престиж - Плюс,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний ,,2123,Снежная Королева,шт,2000,2160,2200,2500,40,340
Бампера задние,Бампер задний ,,2123,Туманное утро - Ниагара,шт,2000,2160,2200,2500,40,340
Бампера передние,Бампер передний,2803015-31,2123,Черный,шт,3200,3456,3500,3800,44,344
Бампера передние,Бампер передний ,,2123,Дельфин - Кварц,шт,3200,3456,3500,4500,44,1044
Бампера передние,Бампер передний ,,2123,Золотой,шт,3200,3456,3500,4500,44,1044
Бампера передние,Бампер передний ,,2123,Млечный Путь,шт,3200,3456,3500,4500,44,1044
Бампера передние,Бампер передний ,,2123,Посейдон,шт,3200,3456,3500,4500,44,1044
Бампера передние,Бампер передний,,2123,Престиж - Плюс,шт,3200,3456,3500,4500,44,1044
